trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
209,False,"{'a': 0.2, 'e': 0.04312567875577949}",25,2,36.34222443377826,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.2, 'e': 0.04247879357444279}",30,16,19.72069201671439,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.2, 'e': 0.04184161167082615}",20,15,9.8813647644231,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.2, 'e': 0.04121398749576376}",20,4,9.858960117523631,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
213,False,"{'a': 0.2, 'e': 0.0405957776833273}",30,13,30.442287530333186,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.2, 'e': 0.03998684101807739}",25,18,14.060577141501318,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.2, 'e': 0.03938703840280623}",30,16,25.77400502791093,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.2, 'e': 0.038796232826764136}",20,6,25.58142224117782,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.2, 'e': 0.038214289334362675}",25,15,21.58261187277298,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.2, 'e': 0.03764107499434723}",25,15,20.96002962262432,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.2, 'e': 0.037076458869432026}",25,14,21.412812661974435,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.2, 'e': 0.036520311986390545}",35,18,33.28187532060817,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.2, 'e': 0.03597250730659468}",20,12,17.322377857705803,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.2, 'e': 0.03543291969699576}",25,13,23.02454289473798,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.2, 'e': 0.03490142590154083}",25,13,21.2574377205886,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.2, 'e': 0.03437790451301771}",25,12,23.93352932826935,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.2, 'e': 0.03386223594532245}",25,13,14.961878735321259,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.2, 'e': 0.03335430240614261}",20,16,6.780744931798473,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.2, 'e': 0.03285398787005047}",20,16,5.364244582809377,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.2, 'e': 0.032361178051999714}",30,12,32.810660165768304,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.2, 'e': 0.03187576038121972}",20,6,30.278345846736162,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.2, 'e': 0.03139762397550142}",30,13,30.052754611875105,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.2, 'e': 0.0309266596158689}",25,10,31.37161480305976,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.2, 'e': 0.030462759721630865}",20,13,10.364669296961159,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.2, 'e': 0.030005818325806403}",20,13,1.4178490765873344,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
234,False,"{'a': 0.2, 'e': 0.029555731050919305}",20,7,14.25325778552595,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
235,False,"{'a': 0.2, 'e': 0.029112395085155514}",20,15,11.650721536617231,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.2, 'e': 0.028675709158878182}",25,11,30.593801349681925,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.2, 'e': 0.02824557352149501}",30,17,24.112382651598097,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.2, 'e': 0.02782188991867258}",20,8,20.102398056421496,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.2, 'e': 0.027404561569892495}",20,11,19.98610796954807,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.2, 'e': 0.026993493146344107}",30,20,-25.933343959915092,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
241,False,"{'a': 0.2, 'e': 0.026588590749148943}",25,0,28.352955405327876,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
242,False,"{'a': 0.2, 'e': 0.02618976188791171}",25,15,21.81767820519176,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.2, 'e': 0.025796915459593034}",20,3,30.606310377435662,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.2, 'e': 0.02540996172769914}",20,9,21.58023773049908,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.2, 'e': 0.02502881230178365}",25,12,23.30637116133732,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.2, 'e': 0.024653380117256894}",20,10,19.020630153703234,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.2, 'e': 0.024283579415498042}",20,12,16.57248444008275,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.2, 'e': 0.02391932572426557}",20,11,13.903052855433865,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.2, 'e': 0.023560535838401588}",20,16,6.558250403194824,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.2, 'e': 0.023207127800825563}",25,12,22.270860189759798,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
